"State","City","Street","Zipcode","Bedrooms","Bathrooms","Area","PPSq","LotArea","MarketEstimate","RentEstimate","Latitude","Longitude","Price"
"AL","Saraland","Scott Dr","36571",0.581083940498451,-0.402852424356873,-0.418951149751927,-0.386792588996729,-0.129795317560367,-0.243307427220497,-0.287504083019775,30.819534,-88.09596,-0.234547756540784
"AL","Chelsea","Mallet Way","35043",-0.425427985824988,0.520452062889877,0.0799893668436733,-0.376109697145902,-0.139138478518761,-0.149183175226835,-0.197131153341348,33.357986,-86.6087,-0.148527709624354
"AL","Montgomery","Brampton Ln","36117",-0.425427985824988,-0.402852424356873,-0.459847913407304,-0.666063997698699,-0.143790674846592,-0.332016581034607,-0.345581581371677,32.372746,-86.165115,-0.314959766749729
"AL","Boaz","Greenwood Ave","35957",-0.425427985824988,-0.402852424356873,-0.33470381662185,-0.437407379822884,-0.129834085863099,-0.245473466492317,-0.14475284875295,34.210014,-86.13669,-0.235361826385419
"AL","Albertville","Lexington Ave","35950",-0.425427985824988,-0.402852424356873,-0.369875033365475,-0.383327929125894,-0.132598062928395,-0.236021658760736,-0.288046863378204,34.2754,-86.21792,-0.22550253604484
"AL","Mobile","Emerald Dr W","36619",-0.425427985824988,0.520452062889877,0.0521795675580169,-0.461496400072205,-0.132602142678159,-0.190731746713577,-0.205815639076212,30.595074,-88.20307,-0.184708591608131
"AL","Mobile","Stanton Rd","36607",-0.425427985824988,-0.402852424356873,-0.762483964457095,-0.51015108305289,-0.144015531002438,-0.334182620306427,-0.395788764526359,30.693125,-88.087814,-0.315864288799324
"AL","Montgomery","Crestview Ave","36109",-0.425427985824988,-0.402852424356873,0.0570871791966622,-0.771088890970797,-0.112000666606414,-0.357418314313231,-0.382219255565635,32.39595,-86.269714,-0.298678369857029
"AL","Semmes","Park Ave","36575",-0.425427985824988,-1.32615691160362,-0.839369880129203,-0.403854496486239,-0.0817613904755123,-0.324435443583234,-0.423199172627024,30.774414,-88.257675,-0.306819068303379
"AL","Mulga","Morningside Dr","35118",-0.425427985824988,-0.402852424356873,-0.585809945465866,-0.87987869563691,-0.132935550081653,-0.403102051682539,-0.349923824239109,33.524075,-87.00953,-0.379271284475893
"AL","Mobile","Driver St","36617",2.59410779314533,1.44375655013663,0.744152808606997,-0.894076776068619,-0.14836533456896,-0.328472153135264,-0.0429815315475138,30.702614,-88.08904,-0.303200980105002
"AL","Montgomery","Narrow Lane Rd","36116",-0.425427985824988,0.520452062889877,1.28153628303865,-0.893336548540261,0.375704581761204,-0.294800088091506,-0.395517374347145,32.273514,-86.25934,-0.270638186319602
"AL","Huntsville","Club View Dr NW","35810",-0.425427985824988,-0.402852424356873,-0.486021842146745,-0.417280178325427,-0.138813807333348,-0.265263188930315,-0.304873054489503,34.750492,-86.62149,-0.253452267377308
"AL","Fairhope","Fairfax Dr","36532",0.581083940498451,0.520452062889877,0.232125327641676,-0.272034899667066,-0.138363112464123,-0.0786884425621263,-0.0294120225867889,30.504227,-87.874535,-0.0808694603146904
"AL","Phenix City","13th St","36867",-0.425427985824988,-0.402852424356873,-0.76739157609574,-0.506749374573415,-0.146116773010508,-0.33408416397589,-0.395788764526359,32.472347,-85.009224,-0.315864288799324
"AL","Meridianville","Kingsford St","35759",-0.425427985824988,-0.402852424356873,-0.365785356999937,-0.273630434297228,-0.147667505119785,-0.200577379767307,-0.246795556137601,34.87313,-86.58187,-0.193753812104075
"AL","Remlap","Cedar Ln","35133",-1.43193991214843,-0.402852424356873,-0.430402243575433,-0.580535833201718,0.218305272669588,-0.304350352153625,-0.315728661658083,33.78361,-86.630005,-0.288728627311491
"AL","Mobile","Green Forest Ct","36618",-0.425427985824988,-0.402852424356873,-0.679054566600125,-0.459739653225107,-0.151420276824235,-0.312719140249295,-0.296459958933854,30.717815,-88.147285,-0.293251237559463
"AL","Fort Mitchell","Ottawa Trl","36856",1.58759586682189,1.44375655013663,0.75642183770361,-0.635427878375961,-0.132160184027015,-0.17783396741319,-0.151537603233312,32.27377,-84.99826,-0.169331716765026
